"ident","type","name","latitude_deg","longitude_deg","iso_country"
"CYTS","medium_airport","Timmins/Victor M. Power","48.56969833","-81.37670136","CA"
"CYTZ","medium_airport","Billy Bishop Toronto City","43.627852","-79.39553","CA"
"CYUL","large_airport","Montreal / Pierre Elliott Trudeau International","45.467837","-73.742294","CA"
"CYUX","medium_airport","Hall Beach","68.7761","-81.2425","CA"
"CYUY","medium_airport","Rouyn Noranda","48.20610046","-78.83560181","CA"
"CYVB","medium_airport","Bonaventure","48.071098","-65.460297","CA"
"CYVC","medium_airport","La Ronge","55.15140152","-105.262001","CA"
"CYVD","medium_airport","Virden / RJ (Bob) Andrew Field Regional Aerodrome","49.8783","-100.917999","CA"
"CYVK","medium_airport","Vernon Regional","50.246163","-119.330963","CA"
"CYVO","medium_airport","Val-d'Or","48.05329895","-77.78279877","CA"
"CYVP","medium_airport","Kuujjuaq","58.09609985","-68.42690277","CA"
"CYVQ","medium_airport","Norman Wells","65.28160095","-126.7979965","CA"
"CYVR","large_airport","Vancouver International","49.193901","-123.183998","CA"
"CYVV","medium_airport","Wiarton","44.7458","-81.107201","CA"
"CYWG","large_airport","Winnipeg / James Armstrong Richardson International","49.90999985","-97.23989868","CA"
"CYWK","medium_airport","Wabush","52.9219017","-66.86440277","CA"
"CYWL","medium_airport","Williams Lake","52.18310165","-122.0540009","CA"
"CYWY","medium_airport","Wrigley","63.20940018","-123.4369965","CA"
"CYXC","medium_airport","Cranbrook/Canadian Rockies International","49.610802","-115.781998","CA"
"CYXE","large_airport","Saskatoon John G. Diefenbaker International","52.170723","-106.700793","CA"
"CYXH","medium_airport","Medicine Hat Regional","50.018902","-110.721001","CA"
"CYXJ","medium_airport","Fort St John / North Peace Regional","56.238098","-120.739998","CA"
"CYXK","medium_airport","Rimouski","48.477644","-68.496323","CA"
"CYXL","medium_airport","Sioux Lookout","50.11389923","-91.90529633","CA"
"CYXQ","medium_airport","Beaver Creek","62.41030121","-140.8670044","CA"
"CYXR","medium_airport","Earlton (Timiskaming Regional)","47.69740065","-79.84734535","CA"
"CYXS","medium_airport","Prince George (International)","53.884311","-122.666554","CA"
"CYXT","medium_airport","Northwest Regional Terrace-Kitimat","54.468498","-128.576009","CA"
"CYXU","medium_airport","London International","43.032845","-81.149003","CA"
"CYXX","medium_airport","Abbotsford International","49.025299","-122.361","CA"
"CYXY","medium_airport","Whitehorse / Erik Nielsen International","60.708533","-135.065705","CA"
"CYXZ","medium_airport","Wawa","47.96670151","-84.78669739","CA"
"CYYB","medium_airport","North Bay Jack Garland","46.363602","-79.422798","CA"
"CYYC","large_airport","Calgary International","51.118822","-114.009933","CA"
"CYYD","medium_airport","Smithers","54.8246994","-127.1829987","CA"
"CYYE","medium_airport","Fort Nelson","58.83639908","-122.5970001","CA"
"CYYF","medium_airport","Penticton","49.46310043","-119.6019974","CA"
"CYYG","medium_airport","Charlottetown","46.288911","-63.125174","CA"
"CYYJ","large_airport","Victoria International","48.647201","-123.427792","CA"
"CYYL","medium_airport","Lynn Lake","56.86389923","-101.0759964","CA"
"CYYN","medium_airport","Swift Current","50.29190063","-107.6910019","CA"
"CYYQ","medium_airport","Churchill","58.73920059","-94.06500244","CA"
"CYYR","medium_airport","Goose Bay","53.31919861","-60.42580032","CA"
"CYYT","large_airport","St. John's International","47.618599","-52.7519","CA"
"CYYU","medium_airport","Kapuskasing","49.411587","-82.469645","CA"
"CYYW","medium_airport","Armstrong","50.29029846","-88.90969849","CA"
"CYYY","medium_airport","Mont Joli","48.60860062","-68.20809937","CA"
"CYYZ","large_airport","Toronto Pearson International","43.675935","-79.629421","CA"
"CYZE","medium_airport","Gore Bay Manitoulin","45.8853","-82.567802","CA"
